"ID","age","gender","neighborhood","annual_donation"
"Mgm4oPq",53.3913747176011,"Male","Neighborhood A",289
"DGMfzPT",35.6948678139945,"Male","Neighborhood A",307
"qHWrk3M",31.4652012876048,"Male","Neighborhood A",178
"HzkwKsE",42.9931156833561,"Female","Neighborhood B",1076
"DVblPel",42.4259002886492,"Female","Neighborhood A",174
"lr0PNAM",43.2314623541165,"Male","Neighborhood A",157
"ykvYWaa",35.8265904345238,"Other Identity","Neighborhood A",52
"ih5vnJY",38.329570361208,"Male","Neighborhood A",355
"ZiVueRk",33.84159978171,"Female","Neighborhood A",183
"x599iy4",33.7301407797765,"Female","Neighborhood A",181
"Um7FLl6",58.5435649462754,"Female","Neighborhood B",1191
"R2dS9PE",44.3885022231908,"Male","Neighborhood A",250
"cmX1c4a",35.1559122790277,"Male","Neighborhood A",174
"vq7fh6v",30.9041818516086,"Female","Neighborhood A",363
"hDCnGb0",38.827354046667,"Male","Neighborhood A",292
"I20e5Kb",35.2464098847541,"Male","Neighborhood A",82
"W9BMDNL",52.1779539027528,"Other Identity","Neighborhood B",1141
"c1E4xtZ",31.677209751466,"Female","Neighborhood A",181
"APpkDUA",47.429933444999,"Male","Neighborhood A",432
"rxtLTxm",47.0502833231979,"Male","Neighborhood B",1507
"KZP2Kgu",52.9617825886166,"Female","Neighborhood A",189
"vExPFDC",31.4378454823572,"Male","Neighborhood A",287
"rqzo27X",43.5843253950994,"Other Identity","Neighborhood A",50
"DBJVjzb",53.0593058187867,"Other Identity","Neighborhood A",192
"2EI90Ia",40.5216265329321,"Other Identity","Neighborhood A",161
"AzOqRme",36.9896458077811,"Female","Neighborhood A",477
"4jbK7cA",45.0970531542326,"Female","Neighborhood A",88
"0MsLKcL",42.9987897250241,"Female","Neighborhood A",479
"Oc08WoN",50.3277768994588,"Male","Neighborhood A",404
"ZzmfuAo",51.3779360457631,"Male","Neighborhood A",368
"KRw1B21",31.6713107280574,"Female","Neighborhood A",187
"OkHcctb",39.7466225536155,"Female","Neighborhood A",337
"PTTJtQB",49.6147135385072,"Female","Neighborhood A",54
"Whv75aI",48.6010382796379,"Male","Neighborhood A",167
"8TX4EHL",42.7398606121925,"Other Identity","Neighborhood A",166
"J4EoBMU",33.3554884659871,"Female","Neighborhood A",249
"1lazU9T",49.9524035956677,"Male","Neighborhood A",346
"H35d4ez",40.9306571749339,"Female","Neighborhood A",454
"WcYuJlJ",52.1965852167611,"Male","Neighborhood A",406
"kvAa5PB",43.7416492740799,"Male","Neighborhood A",255
"4EC7lt2",30.0616992307919,"Female","Neighborhood B",1061
"1Ci43c6",53.876283685328,"Male","Neighborhood A",95
"QopjAjA",43.1974313885552,"Female","Neighborhood A",67
"xjzMtS0",30.0726314228202,"Other Identity","Neighborhood A",233
"7xlxTip",48.0675022658796,"Male","Neighborhood A",88
"dVhMvyJ",52.8605315298977,"Male","Neighborhood A",471
"J4cQNYt",40.6616135442038,"Male","Neighborhood A",164
"LZz3owS",38.0602719369861,"Female","Neighborhood A",366
"sagZzWK",39.5183613337565,"Female","Neighborhood A",211
"wqxi3aS",46.1242488798152,"Male","Neighborhood A",431
"rtZ7Db6",33.5774193942453,"Female","Neighborhood A",354
"lKM6sDQ",43.2639839793117,"Male","Neighborhood A",137
"uUmw40e",41.4314667246456,"Other Identity","Neighborhood B",1294
"CWlZKg8",31.3472608492132,"Female","Neighborhood A",230
"PkAyCSH",46.2068058278316,"Male","Neighborhood B",1139
"GFqd6VF",36.1050146110814,"Female","Neighborhood A",289
"QrFm8YZ",33.6218953530652,"Female","Neighborhood A",176
"WA8HZdr",58.0176557581015,"Male","Neighborhood A",110
"Ev4EFpB",33.319210827218,"Male","Neighborhood B",1164
"NCUywFh",33.0550575726823,"Female","Neighborhood B",1274
"q4jfkP6",55.4089920137251,"Female","Neighborhood A",239
"RmpjycF",31.6007360081074,"Other Identity","Neighborhood A",107
"nC4extm",46.4978057610404,"Female","Neighborhood A",140
"S3Z1DpA",35.6121585892517,"Female","Neighborhood A",121
"qFld9RY",57.555785186399,"Female","Neighborhood A",281
"2f0V155",32.3575747074322,"Other Identity","Neighborhood A",158
"S8n8b2B",48.5570701700954,"Female","Neighborhood A",136
"9N4w1hP",47.9518867625178,"Male","Neighborhood A",339
"IEizKjV",33.3167107744684,"Other Identity","Neighborhood A",125
"aOKvCJu",46.5847349789712,"Other Identity","Neighborhood A",231
"kPR3YL0",35.2033358680443,"Male","Neighborhood A",447
"a96fs0k",36.9745715755299,"Female","Neighborhood A",279
"5Mx0xar",44.070612258716,"Female","Neighborhood A",224
"VLoPW80",32.5122715734181,"Female","Neighborhood A",377
"RCcomBk",39.2915899150678,"Male","Neighborhood A",356
"m1ILcDz",35.9597736608636,"Other Identity","Neighborhood B",1163
"1qi1azy",53.1049232787002,"Male","Neighborhood A",174
"oSyWGJV",46.4582397951133,"Female","Neighborhood A",224
"ozlw3xY",41.0719500779418,"Male","Neighborhood A",357
"6KldZ25",39.6588337087637,"Female","Neighborhood A",129
"7b84m9n",42.5114690519268,"Female","Neighborhood B",1284
"Rf2JA4J",44.6611686014451,"Male","Neighborhood A",139
"LuBA60M",47.9832880141196,"Male","Neighborhood A",59
